Date,Consumer Price Index_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
1985-01-01,0.0090110385221997,8.74,8.1,0.0,0.0531106499109368,1.53,96.0,7.252272727272727,103.83,151.470001
1985-01-02,0.0246801859240752,9.37,8.071875,-0.908206292572178,0.0404509629938987,1.67,95.9,7.25,296.43,152.229996
1985-01-03,0.0246740963112168,8.77,8.04375,-1.0474631751227426,0.0404346068060501,1.56,95.8,7.247727272727273,56.06,151.970001
1985-01-04,0.0246680097027551,8.18,8.015625,0.2977174991730003,0.040418263840003,1.59,95.7,7.245454545454545,118.45,152.110001
1985-01-07,0.0246619260964253,8.23,7.9875,-1.6160949868073815,0.0404019340796812,1.49,95.6,7.243181818181818,593.28,152.809998
1985-01-08,0.0246558454900291,8.3,7.959375,1.2403620516258762,0.0403856175091199,1.46,95.5,7.240909090909091,237.04,151.910004
1985-01-09,0.0246497678813684,8.02,7.931249999999999,-0.4966887417218513,0.0403693141123095,1.52,95.4,7.238636363636363,103.83,152.399994
1985-01-10,0.0246436932681559,8.23,7.903124999999999,1.0981697171380975,0.040353023873374,1.48,95.3,7.236363636363636,201.74,151.800003
1985-01-11,0.0246376216482602,8.24,7.875,0.1645819618169897,0.0403367467763038,1.51,95.2,7.234090909090909,207.56,152.410004
1985-01-14,0.0246315530194163,8.15,7.846875,-1.741702267499179,0.0403204828052672,1.53,95.1,7.231818181818181,140.99,153.889999
1985-01-15,0.024625487379426,8.03,7.81875,0.936454849498336,0.0403042319443658,1.49,95.0,7.2295454545454545,114.3,153.470001
1985-01-16,0.0246194247261133,8.51,7.790624999999999,0.2982107355864682,0.0402879941777456,1.52,94.9,7.227272727272727,48.28,153.639999
1985-01-17,0.0246133650572355,8.27,7.762499999999999,0.9250082590023244,0.0402717694895971,1.5,94.8,7.225,190.6,153.460007
1985-01-18,0.0246073083705944,8.1,7.734375,0.8183306055646433,0.0402555578641106,1.48,94.7,7.222727272727273,208.3,153.470001
1985-01-21,0.0246012546639917,8.1,7.70625,-0.2272727272727204,0.0402393592855654,1.48,94.6,7.220454545454546,140.79,153.470001
1985-01-22,0.0245952039352292,8.29,7.678125,-0.1301659616010475,0.0402231737381519,1.44,94.5,7.218181818181819,115.91,152.869995
1985-01-23,0.0245891561821309,8.36,7.649999999999999,-2.150537634408589,0.0402070012062161,1.38,94.4,7.215909090909091,102.03,153.460007
1985-01-24,0.0245831114024541,8.33,7.621874999999999,0.199800199800193,0.0401908416740148,1.32,94.3,7.213636363636364,47.3,152.600006
1985-01-25,0.0245770695940894,8.37,7.59375,-0.6646726487205101,0.0401746951258941,1.35,94.2,7.211363636363637,154.89,153.009995
1985-01-28,0.0245710307547497,8.62,7.565625,-0.3680160588825587,0.040158561546244,1.32,94.1,7.209090909090909,392.25,153.020004
1985-01-29,0.0245649948822812,8.61,7.5375,1.846877098723976,0.0401424409193884,1.32,94.0,7.206818181818182,289.28,153.270004
1985-01-30,0.0245589619745301,8.49,7.509374999999999,-0.1318826244642412,0.040126333229784,1.32,93.9,7.204545454545455,50.51,152.910004
1985-01-31,0.024552932029298,8.73,7.481249999999999,1.254539451964343,0.0401102384618434,1.27,93.8,7.202272727272727,143.48,152.720001
1985-02-01,0.0245469050443869,8.74,7.453125,-1.010759700032593,0.0400941566000234,1.25,93.7,7.2,50.66,153.470001
1985-02-04,0.0235183443085595,8.61,7.425,-0.7575757575757569,0.0256998428274091,1.32,93.7219512195122,7.202439024390244,198.4,154.940002
1985-02-05,0.0235128144838947,8.36,7.396875,0.2655160969133874,0.0256932397051823,1.31,93.7439024390244,7.204878048780488,162.06,155.419998
1985-02-06,0.0235072872590613,8.22,7.368749999999999,0.2648129758358042,0.0256866399751976,1.37,93.7658536585366,7.2073170731707314,193.47,155.309998
1985-02-07,0.0235017626321942,8.41,7.340624999999999,-0.3961703532518901,0.0256800436348569,1.35,93.7878048780488,7.209756097560976,265.1,156.020004
1985-02-08,0.0234962406015171,8.49,7.3125,-0.6297646668876333,0.0256734506815181,1.34,93.80975609756098,7.212195121951219,96.24,156.509995
1985-02-11,0.0234907211651425,8.3,7.284375,0.1334222815210006,0.0256668611125832,1.36,93.83170731707315,7.214634146341464,68.65,157.389999
1985-02-12,0.0234852043212718,8.3,7.25625,0.7661558960692982,0.0256602749254541,1.36,93.85365853658536,7.217073170731707,169.37,157.389999
1985-02-13,0.0234796900681066,8.61,7.228124999999999,0.2314049586776834,0.0256536921175332,1.36,93.87560975609756,7.219512195121951,97.06,158.539993
1985-02-14,0.0234741784037373,8.59,7.199999999999999,0.329815303430081,0.0256471126862001,1.31,93.89756097560976,7.221951219512195,46.4,157.990005
1985-02-15,0.023468669326454,8.53,7.171875,-0.0657462195923663,0.025640536628857,1.36,93.91951219512195,7.224390243902439,148.61,156.970001
1985-02-18,0.0234631628343473,8.53,7.14375,0.164473684210531,0.0256339639429725,1.36,93.94146341463414,7.226829268292683,427.95,156.970001
1985-02-19,0.0234576589256407,8.63,7.115625,-0.6239737274220003,0.0256273946258822,1.36,93.96341463414636,7.229268292682927,126.87,158.809998
1985-02-20,0.0234521575985136,8.67,7.0875,0.0991407799074473,0.0256208286750103,1.39,93.98536585365854,7.23170731707317,93.05,159.630005
1985-02-21,0.0234466588511006,8.67,7.059374999999999,-0.990425883129742,0.0256142660877811,1.35,94.00731707317073,7.234146341463415,45.04,160.690002
1985-02-22,0.0234411626816699,8.5,7.03125,-0.5001667222407469,0.0256077068615967,1.42,94.02926829268291,7.236585365853658,47.45,162.039993
1985-02-25,0.0234356690883563,8.52,7.003125,-4.725201072386042,0.0256011509939035,1.39,94.05121951219512,7.239024390243903,203.24,164.720001
